publication_id,source_type,reference_label,title,doi,pmid,patent_number,related_patent_numbers,year,access_note,record_count
PUB000056,patent,US9297008B2,Small Activating Rna Molecules And Methods Of Use,,,US9297008B2,,,,48
PUB000057,patent,EP3594348A1,C/ebp Alpha Short Activating Rna Compositions And Methods Of Use,,,EP3594348A1,,,,192
PUB000058,patent,WO2011112607A3,Nkx3-1 Sarna And Klf4 Sarna And Uses Thereof,,,WO2011112607A3,,,,46
PUB000059,patent,US20130210146A1,Methods And Compositions For Generation Of Induced Pluripotent Stem Cells By RNAa,,,US20130210146A1,,,,45
PUB000060,patent,WO2011053994A1,Modulation of LDL Receptor gene expression,,,WO2011053994A1,,,,163
PUB000061,journal_article,Pineda2017,Altered expression and modulation of the two-pore-domain (K2P) mechanogated potassium channel TREK-1 in overactive human detrusor,10.1152/ajprenal.00638.2016,28827195,,,2017,,3
PUB000062,journal_article,Voutila2017,"Development and Mechanism of Small Activating RNA Targeting CEBPA, a Novel Therapeutic in Clinical Trials for Liver Cancer",10.1016/j.ymthe.2017.07.018,28882451,,,2017,,39
PUB000063,journal_article,Lin2017,Enhanced wild-type p53 expression by small activating RNA dsP53-285 induces cell cycle arrest and apoptosis in pheochromocytoma cell line PC12,10.3892/or.2017.5993,29048679,,,2017,,1
PUB000064,journal_article,Dai2018,Up-regulation of E-cadherin by saRNA inhibits the migration and invasion of renal carcinoma cells,,31949665,,,2018,,4
PUB000065,journal_article,Chen2018,Small RNA-induced INTS6 gene up-regulation suppresses castration-resistant prostate cancer cells by regulating β-catenin signaling,10.1080/15384101.2018.1475825,29895194,,,2018,,23
